safra,chuva_total,temp_media,temp_min_media,et0_total,dias_sem_chuva,produtividade_sc_ha,tendencia
2001,739.7,28.313186813186814,19.077472527472526,864.35,64,58.2,0
2002,1440.3,26.897802197802196,18.73076923076923,745.02,48,61.4,1
2003,1223.7,28.064835164835166,19.417582417582416,813.59,66,54.8,2
2004,1128.3,27.139344262295083,18.687978142076503,783.55,45,69.3,3
2005,1042.7,27.73186813186813,19.135714285714286,805.67,50,65.7,4
2006,875.4,27.893406593406596,19.232417582417582,826.55,59,71.2,5
2007,1130.4,26.73076923076923,18.86208791208791,718.28,38,67.9,6
2008,926.9,28.284153005464482,19.218032786885246,869.28,60,73.5,7
2009,1361.3,27.608241758241757,19.28846153846154,784.77,52,70.8,8
2010,951.1,27.958791208791208,19.61098901098901,809.34,47,77.6,9
2011,1133.9,27.53846153846154,19.197802197802197,777.38,61,64.3,10
2012,1342.9,26.427322404371584,18.34262295081967,750.19,52,59.7,11
2013,837.9,28.18736263736264,19.453846153846154,839.45,62,81.4,12
2014,799.3,27.867582417582415,18.86758241758242,860.01,66,84.2,13
2015,756.3,28.58021978021978,19.285164835164835,897.05,81,78.9,14
2016,777.2,29.640437158469943,20.66448087431694,908.42,71,87.6,15
2017,760.8,28.094505494505494,19.25714285714286,859.01,66,90.3,16
2018,952.5,27.17252747252747,18.90934065934066,786.2,37,85.8,17
2019,768.7,27.63021978021978,19.073076923076925,810.37,41,92.7,18
2020,1306.3,27.625136612021855,19.12568306010929,789.74,32,95.4,19
2021,1001.3,27.49285714285714,18.655494505494506,814.82,44,89.6,20
2022,1501.4,26.83131868131868,18.25714285714286,781.23,31,97.8,21
2023,1200.1,27.354395604395606,18.181318681318682,817.79,31,93.2,22
2024,916.5,28.84262295081967,19.675409836065572,871.19,40,99.1,23
