data,chuva_mm,temp_max,temp_min,evapotranspiracao,municipio,regiao
2000-01-01,25.2,23.4,19.7,2.11,uberaba,Triangulo
2000-01-02,10.8,25.1,20.1,2.51,uberaba,Triangulo
2000-01-03,50.6,21.7,19.7,1.1,uberaba,Triangulo
2000-01-04,18.1,25.2,19.9,2.45,uberaba,Triangulo
2000-01-05,8.8,26.1,20.1,2.53,uberaba,Triangulo
2000-01-06,16.8,26.9,19.5,3.9,uberaba,Triangulo
2000-01-07,14.0,28.3,19.2,4.8,uberaba,Triangulo
2000-01-08,1.2,28.9,19.2,5.5,uberaba,Triangulo
2000-01-09,6.1,28.2,20.7,5.16,uberaba,Triangulo
2000-01-10,2.0,28.8,18.8,5.56,uberaba,Triangulo
2000-01-11,1.9,28.2,19.5,5.28,uberaba,Triangulo
2000-01-12,1.3,29.1,20.2,5.53,uberaba,Triangulo
2000-01-13,0.0,30.2,19.9,6.01,uberaba,Triangulo
2000-01-14,0.4,30.7,20.6,6.16,uberaba,Triangulo
2000-01-15,0.0,30.7,19.7,5.75,uberaba,Triangulo
2000-01-16,0.9,30.3,20.7,5.43,uberaba,Triangulo
2000-01-17,22.1,28.9,21.8,4.07,uberaba,Triangulo
2000-01-18,6.2,28.5,21.1,4.88,uberaba,Triangulo
2000-01-19,10.9,28.4,20.8,4.37,uberaba,Triangulo
2000-01-20,13.8,26.5,20.6,3.13,uberaba,Triangulo
2000-01-21,2.1,26.4,20.5,3.41,uberaba,Triangulo
2000-01-22,1.0,27.3,20.1,4.5,uberaba,Triangulo
2000-01-23,5.6,29.4,20.1,5.19,uberaba,Triangulo
2000-01-24,3.2,27.5,20.4,4.02,uberaba,Triangulo
2000-01-25,11.4,28.9,21.0,4.55,uberaba,Triangulo
2000-01-26,17.3,26.9,20.7,3.16,uberaba,Triangulo
2000-01-27,25.7,23.5,20.4,1.75,uberaba,Triangulo
2000-01-28,42.9,23.0,19.5,1.68,uberaba,Triangulo
2000-01-29,22.3,25.1,18.6,3.01,uberaba,Triangulo
2000-01-30,14.4,28.8,19.4,4.9,uberaba,Triangulo
2000-01-31,13.3,27.7,20.1,3.64,uberaba,Triangulo
2000-02-01,27.1,26.8,20.4,2.94,uberaba,Triangulo
2000-02-02,10.7,25.5,19.7,2.66,uberaba,Triangulo
2000-02-03,8.3,25.7,20.0,2.56,uberaba,Triangulo
2000-02-04,5.7,28.6,20.5,4.4,uberaba,Triangulo
2000-02-05,19.0,27.6,20.2,3.71,uberaba,Triangulo
2000-02-06,14.2,26.9,19.8,3.83,uberaba,Triangulo
2000-02-07,18.2,26.8,19.7,3.52,uberaba,Triangulo
2000-02-08,33.6,24.7,20.3,1.75,uberaba,Triangulo
2000-02-09,10.3,26.0,20.1,3.07,uberaba,Triangulo
2000-02-10,28.9,27.1,20.2,2.76,uberaba,Triangulo
2000-02-11,12.8,25.5,20.3,2.71,uberaba,Triangulo
2000-02-12,6.5,25.7,20.5,2.64,uberaba,Triangulo
2000-02-13,2.0,27.7,19.9,3.86,uberaba,Triangulo
2000-02-14,0.4,28.8,20.5,5.25,uberaba,Triangulo
2000-02-15,0.4,28.5,20.6,5.02,uberaba,Triangulo
